9  	  68  0001000  7
10  
  355  01000  5
13    355  01001  5
32     3537  10  2
33  !  4  111001101011  12
34  "  76  0001011  7
35  #  3  010111000101  12
39  '  45  01011000  8
40  (  156  001010  6
41  )  156  001011  6
42  *  13  0101110011  10
43  +  30  110101010  9
44  ,  39  00110010  8
45  -  90  0101101  7
46  .  124  1101011  7
47  /  242  110100  6
48  0  19  001110000  9
49  1  32  111001100  9
50  2  8  11010101110  11
51  3  3  011110101010  12
52  4  2  0101110001001  13
53  5  1  11100110100010  14
54  6  2  1110011010100  13
55  7  4  01011100000  11
56  8  2  1110011010011  13
58  :  55  11001000  8
59  ;  120  1100101  7
60  <  13  1100100100  10
61  =  79  0011000  7
62  >  8  11100110110  11
63  ?  1  0101110001000  13
64  @  9  11100110111  11
65  A  15  1100100101  10
66  B  1  11100110100011  14
67  C  55  01111011  8
68  D  5  01011100001  11
69  E  4  011110101011  12
70  F  25  011110000  9
72  H  66  11100111  8
73  I  25  011110001  9
76  L  13  0111101011  10
77  M  2  1110011010101  13
78  N  26  011110010  9
79  O  8  11010101111  11
80  P  6  01011100011  11
81  Q  2  1110011010010  13
82  R  26  011110011  9
83  S  45  01011001  8
84  T  48  01011101  8
85  U  15  1101010110  10
91  [  36  00010011  8
92  \  177  001111  6
93  ]  36  00010100  8
95  _  6  01111010100  11
97  a  499  11011  5
98  b  60  11010100  8
99  c  374  01010  5
100  d  309  00100  5
101  e  763  0110  4
102  f  236  110011  6
103  g  131  1110010  7
104  h  100  0101111  7
105  i  557  0000  4
106  j  26  011110100  9
107  k  21  001110001  9
108  l  294  00011  5
109  m  223  011111  6
110  n  466  11000  5
111  o  540  11110  5
112  p  164  001101  6
113  q  30  110010011  9
114  r  520  11101  5
115  s  381  01110  5
116  t  544  11111  5
117  u  245  111000  6
118  v  35  00010010  8
119  w  40  00110011  8
120  x  39  00010101  8
121  y  12  0101110010  10
122  z  41  00111001  8
123  {  42  00111010  8
124  |  2  1110011010000  13
125  }  42  00111011  8
