instance,runtime,objective,best
1,0:00:06.139036,6000,True
2,0:10:00,,
3,0:10:00,9625,False
4,0:10:00,4500,False
5,0:01:50.026001,7750,True
6,0:10:00,17625,False
7,0:00:31.811974,12000,True
8,0:10:00,,
9,0:02:12.779001,0,True
10,0:09:56.530001,5000,True
11,0:10:00,,
12,0:00:02.055000,12000,True
13,0:10:00,16125,False
14,0:10:00,,
15,0:10:00,,
1,0:00:05.434002,6000,True
2,0:10:00,,
3,0:10:00,9625,False
4,0:10:00,4500,False
5,0:01:46.254000,7750,True
6,0:10:00,17625,False
7,0:00:30.872002,12000,True
8,0:10:00,,
9,0:02:11.851000,0,True
10,0:08:03.156000,5000,True
11,0:10:00,,
12,0:00:01.751001,12000,True
13,0:10:00,16125,False
14,0:10:00,,
15,0:10:00,,
1,0:10:00,,
2,0:10:00,,
3,0:10:00,,
4,0:10:00,,
5,0:10:00,,
6,0:10:00,,
7,0:10:00,,
8,0:10:00,,
9,0:10:00,,
10,0:10:00,,
11,0:10:00,,
12,0:10:00,,
13,0:10:00,,
14,0:10:00,,
15,0:10:00,,
