instance,runtime,objective,best
1,0:00:03.192117,6000,True
2,0:10:00.023174,19000,False
3,0:10:00.023460,9250,False
4,0:10:00.023170,3000,False
5,0:00:00.258852,7750,True
6,0:10:00.024632,17625,False
7,0:10:00.022486,12000,False
8,0:10:00.022454,20500,False
9,0:00:00.235949,0,True
10,0:00:04.334094,5000,True
11,0:00:42.234423,17625,True
12,0:10:00.021623,12000,False
13,0:10:00.022920,15000,False
14,0:10:00.023541,21750,False
15,0:10:00.024245,21750,False
1,0:10:00.016719,6000,False
2,0:10:00.015517,18625,False
3,0:00:48.151628,9625,True
4,0:10:00.016564,0,False
5,0:00:00.245212,7750,True
6,0:03:02.038441,17625,True
7,0:10:00.017751,12000,False
8,0:10:00.017346,19000,False
9,0:00:00.240210,0,True
10,0:00:02.265062,5000,True
11,0:03:33.505413,17625,True
12,0:10:00.016831,12000,False
13,0:10:00.018096,15750,False
14,0:10:00.002673,19500,False
15,0:10:00.016472,21375,False
1,0:10:00.010432,6000,False
2,0:10:00.010067,12000,False
3,0:10:00.011377,4500,False
4,0:10:00.011846,0,False
5,0:10:00.009028,4750,False
6,0:10:00.012022,4500,False
7,0:10:00.010919,3000,False
8,0:10:00.011594,12000,False
9,0:00:00.212097,0,True
10,0:00:00.683579,5000,True
11,0:10:00.009945,10500,False
12,0:10:00.012820,3000,False
13,0:10:00.010106,7500,False
14,0:10:00.010355,12000,False
15,0:10:00.010364,12000,False
1,0:10:00.040102,0,False
2,0:10:00.039891,9625,False
3,0:10:00.041252,5250,False
4,0:10:00.044049,4500,False
5,0:10:00.041816,4875,False
6,0:10:00.040802,4875,False
7,0:10:00.041077,3000,False
8,0:10:00.040984,4375,False
9,0:00:00.346217,0,True
10,0:10:00.022101,5000,False
11,0:10:00.041250,4125,False
12,0:10:00.041453,6000,False
13,0:10:00.047067,4625,False
14,0:10:00.042612,7500,False
15,0:10:00.040829,0,False
1,0:08:42.455055,12000,True
2,0:10:00.014553,10000,False
3,0:00:00.232421,4625,True
4,0:00:15.002223,11000,True
5,0:10:00.014964,2625,False
6,0:10:00.015025,10000,False
7,0:00:07.519113,10500,True
8,0:00:23.232615,16625,True
9,0:10:00.012989,9000,False
10,0:10:00.015805,8875,False
11,0:10:00.013685,3000,False
12,0:00:00.786651,6000,True
13,0:00:00.225280,0,True
14,0:00:00.220119,0,True
15,0:00:44.904937,5125,True
1,0:10:00.014570,12000,False
2,0:10:00.009963,9625,False
3,0:00:00.326846,4625,True
4,0:01:28.962210,11000,True
5,0:02:47.063581,2625,True
6,0:03:29.725640,13750,True
7,0:00:42.635120,10500,True
8,0:00:34.971993,16625,True
9,0:10:00.009479,9000,False
10,0:10:00.009194,8875,False
11,0:10:00.010687,3750,False
12,0:03:57.912567,6000,True
13,0:00:00.208872,0,True
14,0:00:00.209034,0,True
15,0:01:49.399092,5125,True
1,0:10:00.009140,10125,False
2,0:10:00.003254,0,False
3,0:00:00.206994,4625,True
4,0:10:00.005420,11000,False
5,0:10:00.004260,2625,False
6,0:10:00.008194,10750,False
7,0:10:00.005069,10500,False
8,0:10:00.007394,12000,False
9,0:10:00.005513,9375,False
10,0:10:00.005094,9625,False
11,0:10:00.005760,3750,False
12,0:10:00.005364,6000,False
13,0:00:00.206506,0,True
14,0:00:00.198415,0,True
15,0:10:00.006133,5125,False
1,0:10:00.027138,7875,False
2,0:10:00.008119,3625,False
3,0:00:00.342171,4625,True
4,0:10:00.026605,5000,False
5,0:10:00.028129,2625,False
6,0:10:00.025557,9250,False
7,0:10:00.025488,7500,False
8,0:10:00.026919,8875,False
9,0:10:00.027352,8875,False
10,0:10:00.026474,8125,False
11,0:10:00.027146,3750,False
12,0:10:00.008320,0,False
13,0:00:00.319071,0,True
14,0:00:00.305840,0,True
15,0:10:00.027631,5125,False
1,0:10:00.074212,18000,False
2,0:10:00.062991,3000,False
3,0:10:00.064813,18500,False
4,0:10:00.065785,22500,False
5,0:10:00.066755,10875,False
6,0:10:00.065002,12500,False
