"Area" "Perimeter" "Major_Axis_Length" "Minor_Axis_Length" "Eccentricity" "Convex_Area" "Extent" "Class"
10102 411.8080139 176.8137665 74.26673126 0.907511175 10350 0.577917635 "Osmancik"
11351 417.6929932 171.0510559 85.5486908 0.865947187 11549 0.743255615 "Osmancik"
13183 464.571991 190.6912689 88.76956177 0.885040224 13473 0.593909085 "Cammeo"
14868 510.4339905 219.333786 88.03911591 0.915905774 15190 0.796699166 "Cammeo"
10427 405.5780029 170.5610657 78.14707947 0.888861179 10588 0.676068187 "Osmancik"
7943 362.6730042 154.886322 65.93088531 0.904877186 8080 0.608659029 "Osmancik"
10979 417.3630066 175.8724365 80.277771 0.889746726 11146 0.666848898 "Osmancik"
14525 487.2160034 206.450119 90.84385681 0.897983968 14798 0.593341529 "Cammeo"
13410 483.1520081 205.8757629 84.65060425 0.911557198 13866 0.731427968 "Cammeo"
14096 476.95401 198.7421875 91.36670685 0.888061464 14346 0.599319756 "Cammeo"
13569 490.5419922 209.8494873 83.40635681 0.917620361 14061 0.530039072 "Cammeo"
10036 402.8590088 166.1565857 77.91069031 0.883251667 10255 0.591570854 "Osmancik"
11299 420.7380066 170.820816 84.86574554 0.867858469 11488 0.64257282 "Osmancik"
9679 390.2219849 154.200592 81.98645782 0.846940875 10003 0.620687425 "Osmancik"
15373 522.2109985 229.4937286 86.34156799 0.926527798 15757 0.671603322 "Cammeo"
11087 432.3829956 177.4989777 80.54419708 0.891117454 11380 0.594636619 "Osmancik"
13244 461.9389954 194.1837616 87.8210144 0.891887546 13476 0.7112782 "Cammeo"
14189 491.9729919 209.9364319 86.80909729 0.910503268 14496 0.55098635 "Cammeo"
12906 461.2030029 191.5436707 86.72735596 0.891621709 13272 0.73832953 "Osmancik"
11875 425.4509888 174.0941772 87.36473083 0.864969432 12041 0.694525659 "Osmancik"
13493 480.5289917 205.5730591 84.68375397 0.911211014 13843 0.796893477 "Cammeo"
16706 533.6259766 228.1561737 94.20754242 0.910772681 17037 0.636249363 "Cammeo"
12232 440.4030151 175.6786804 90.06195068 0.858596742 12525 0.77251482 "Osmancik"
11014 411.2179871 167.1317139 85.07861328 0.860736191 11185 0.696603656 "Osmancik"
11711 447.0039978 190.9449158 79.28987122 0.909707367 11904 0.591464639 "Osmancik"
11911 441.0599976 185.2055817 82.24365234 0.89599365 12119 0.580458105 "Osmancik"
11926 435.7539978 173.2695923 89.63291168 0.855802178 12308 0.753189325 "Osmancik"
14965 483.5079956 203.5234528 94.31124878 0.886153102 15151 0.775549352 "Cammeo"
14570 469.9819946 185.4014587 100.8879166 0.838981986 14895 0.654537261 "Cammeo"
12743 442.7349854 181.139679 90.30118561 0.86688 12899 0.725105286 "Osmancik"
14434 488.2869873 201.6492462 92.53371429 0.888495922 14826 0.707757175 "Cammeo"
13422 474.9549866 196.4542542 88.85059357 0.891880512 13817 0.559809804 "Cammeo"
14761 499.5109863 210.7987671 90.55553436 0.903027415 15197 0.658326626 "Cammeo"
14115 490.4079895 207.959549 87.42121124 0.907350004 14580 0.570579648 "Cammeo"
15035 506.1520081 216.9353027 89.38923645 0.911159039 15432 0.609296501 "Cammeo"
15209 517.6879883 221.2523956 89.17511749 0.915179253 15653 0.635296583 "Cammeo"
12879 469.1329956 200.7955017 82.04309082 0.912717879 13132 0.769125104 "Cammeo"
10262 412.7680054 166.6488037 80.32595825 0.876167119 10554 0.575805187 "Osmancik"
10873 416.6690063 168.9403534 83.34116364 0.869849563 11151 0.682291687 "Osmancik"
12205 438.3559875 174.43573 90.32647705 0.855489016 12491 0.618475735 "Osmancik"
16606 516.3649902 211.5942078 101.7699051 0.876738489 17032 0.707119763 "Cammeo"
12260 453.572998 193.1613312 81.17553711 0.907409608 12508 0.574158192 "Osmancik"
14853 488.5610046 201.5631256 95.47245026 0.880707622 15224 0.678529024 "Cammeo"
11840 432.3840027 175.8368835 86.64778137 0.87015754 12032 0.625759721 "Osmancik"
10524 402.4949951 164.0819397 82.46437836 0.864530444 10713 0.632527947 "Osmancik"
15141 505.42099 209.5935974 93.09237671 0.895949185 15559 0.566399813 "Cammeo"
10820 424.7810059 178.7657623 78.07855988 0.89957583 11081 0.714852035 "Osmancik"
11089 421.6549988 173.6253967 82.34242249 0.880388439 11345 0.666406274 "Osmancik"
13335 474.3770142 197.8399048 87.58254242 0.896672726 13702 0.667016804 "Osmancik"
13557 483.9089966 206.2037201 84.38730621 0.912425697 13845 0.552580118 "Cammeo"
10297 426.2219849 180.0431976 73.69879913 0.912382126 10621 0.564528525 "Osmancik"
10843 412.3670044 168.2745056 83.94273376 0.866691768 11082 0.787436485 "Osmancik"
12945 454.678009 185.9101715 89.59597015 0.876208901 13220 0.652601302 "Osmancik"
11217 424.0849915 168.6538391 86.48292542 0.858517885 11546 0.771882713 "Osmancik"
11410 436.368988 180.802597 81.64021301 0.892249167 11710 0.617825449 "Osmancik"
15713 518.4520264 218.7672577 92.42917633 0.906362891 16038 0.583519042 "Cammeo"
12235 443.4559937 187.6625366 83.75172424 0.894888878 12442 0.658326626 "Osmancik"
14505 492.6820068 205.4121399 90.76255035 0.897086084 14834 0.582951546 "Cammeo"
10767 428.3519897 181.7823029 75.89606476 0.908671975 11002 0.699155867 "Osmancik"
12501 451.7990112 192.7388 83.19506073 0.902042747 12687 0.718820095 "Osmancik"
15809 521.4970093 224.5216522 90.6051178 0.914958775 16150 0.564607143 "Cammeo"
12958 445.696991 178.8109741 93.66616058 0.851824164 13223 0.711978018 "Osmancik"
12575 456.7529907 188.6798553 85.98197174 0.890131891 12936 0.739271045 "Cammeo"
10557 412.6679993 168.8085785 80.5927124 0.878674805 10778 0.616071403 "Osmancik"
12763 454.9020081 185.2253723 89.68470001 0.874961615 13081 0.62270689 "Osmancik"
10737 412.3059998 165.5516205 83.92192841 0.861991346 11017 0.614104331 "Osmancik"
13952 484.946991 201.3228302 89.51037598 0.895723701 14349 0.656410277 "Cammeo"
14654 498.1029968 214.6542969 87.38054657 0.913394451 14907 0.803751647 "Cammeo"
11642 427.9559937 171.078949 87.56867218 0.859068215 11946 0.736369371 "Osmancik"
11211 410.5759888 162.8713989 88.59012604 0.839132667 11408 0.643422842 "Osmancik"
14531 492.9580078 207.6246033 90.52266693 0.899950564 14913 0.571254492 "Cammeo"
12361 443.8190002 178.1721191 89.32095337 0.865262926 12581 0.780366182 "Osmancik"
11559 435.1849976 178.782074 83.54547119 0.88409704 11796 0.666378438 "Osmancik"
11441 415.8580017 170.4867706 85.7565918 0.864280462 11628 0.681011915 "Osmancik"
11860 429.7929993 178.2135773 85.30594635 0.877993524 12032 0.700572968 "Osmancik"
15809 518.4550171 221.0706787 92.2322998 0.908811331 16079 0.814812899 "Cammeo"
11451 426.2470093 176.1217957 84.35531616 0.877836645 11666 0.608480811 "Osmancik"
12665 445.6629944 186.2803955 87.28702545 0.883421779 12811 0.710080743 "Osmancik"
11513 438.625 189.7222137 77.68550873 0.912323713 11736 0.684238672 "Cammeo"
14626 502.3569946 212.7346954 88.58338928 0.909180105 14997 0.581504464 "Cammeo"
12692 443.1430054 182.9328308 88.95259857 0.873815119 12849 0.638237953 "Cammeo"
11319 414.0140076 164.7808075 88.50933075 0.843497097 11563 0.746685147 "Osmancik"
11022 417.2590027 168.6112518 84.67787933 0.864746988 11259 0.607272744 "Osmancik"
13657 469.2369995 193.1074219 90.77803802 0.88261801 13930 0.615346491 "Cammeo"
10074 397.3980103 166.9896088 77.15100861 0.886874259 10249 0.703983247 "Osmancik"
12684 461.3580017 198.2021179 81.89427948 0.910646796 12912 0.547101438 "Cammeo"
14953 503.7520142 217.1036835 88.61492157 0.912906528 15229 0.72313571 "Cammeo"
15557 514.5369873 214.075119 93.85389709 0.898772299 15942 0.695564687 "Cammeo"
16490 520.3189697 212.0107574 101.6800079 0.877488136 16873 0.629365265 "Cammeo"
15806 513.8449707 221.1923828 91.62950897 0.910161972 16043 0.574868143 "Cammeo"
12341 451.1159973 183.6455994 86.69643402 0.881552756 12676 0.602117479 "Osmancik"
11026 425.0100098 179.9587708 79.05262756 0.898349285 11185 0.55861789 "Osmancik"
14423 507.0820007 221.5334778 83.90892029 0.92549324 14703 0.542218029 "Cammeo"
13574 473.2210083 197.8727722 88.44189453 0.894552231 13879 0.641250968 "Cammeo"
15607 505.9030151 208.0110168 96.88903809 0.884896338 16030 0.724996507 "Cammeo"
11231 427.6669922 183.5870972 78.86173248 0.903038144 11427 0.721184075 "Osmancik"
11440 425.8160095 170.7209778 87.25543976 0.859521449 11750 0.665077627 "Osmancik"
11046 423.4979858 183.4550018 76.97341919 0.90771997 11198 0.822793305 "Osmancik"
