010 ; \n ; 391 ; 10010 ; 5
032 ;   ; 4879 ; 0 ; 1
033 ; ! ; 1 ; 10111101111010 ; 14
034 ; " ; 40 ; 111110101 ; 9
037 ; % ; 1 ; 10111101111011 ; 14
039 ; ' ; 29 ; 110010001 ; 9
040 ; ( ; 157 ; 1110111 ; 7
041 ; ) ; 157 ; 1111100 ; 7
042 ; * ; 128 ; 1100111 ; 7
043 ; + ; 15 ; 1100110000 ; 10
044 ; , ; 25 ; 100111010 ; 9
045 ; - ; 13 ; 1011110100 ; 10
046 ; . ; 114 ; 1011111 ; 7
047 ; / ; 60 ; 11001011 ; 8
048 ; 0 ; 16 ; 1100110011 ; 10
049 ; 1 ; 6 ; 111111100010 ; 12
050 ; 2 ; 3 ; 1111111000110 ; 13
051 ; 3 ; 1 ; 11101100010000 ; 14
055 ; 7 ; 3 ; 1111111000111 ; 13
058 ; : ; 12 ; 1000011101 ; 10
059 ; ; ; 100 ; 1001111 ; 7
060 ; < ; 19 ; 1110110111 ; 10
061 ; = ; 49 ; 10011100 ; 8
062 ; > ; 25 ; 100111011 ; 9
063 ; ? ; 9 ; 11111110000 ; 11
064 ; @ ; 56 ; 10111100 ; 8
065 ; A ; 15 ; 1100110010 ; 10
066 ; B ; 2 ; 1011110111111 ; 13
067 ; C ; 35 ; 111011001 ; 9
068 ; D ; 6 ; 10000111000 ; 11
069 ; E ; 7 ; 10111101110 ; 11
070 ; F ; 22 ; 100001010 ; 9
071 ; G ; 3 ; 1110110001011 ; 13
072 ; H ; 23 ; 100001100 ; 9
073 ; I ; 22 ; 100001011 ; 9
076 ; L ; 14 ; 1011110110 ; 10
077 ; M ; 1 ; 11101100010001 ; 14
078 ; N ; 88 ; 11111111 ; 8
079 ; O ; 14 ; 1011110101 ; 10
080 ; P ; 29 ; 110010000 ; 9
081 ; Q ; 2 ; 1110110001001 ; 13
082 ; R ; 9 ; 11101100011 ; 11
083 ; S ; 37 ; 111011010 ; 9
084 ; T ; 39 ; 111110100 ; 9
087 ; W ; 2 ; 1011110111110 ; 13
091 ; [ ; 12 ; 1000011110 ; 10
092 ; \ ; 15 ; 1100110001 ; 10
093 ; ] ; 12 ; 1000011111 ; 10
095 ; _ ; 2 ; 1110110001010 ; 13
097 ; a ; 526 ; 11011 ; 5
098 ; b ; 58 ; 11001001 ; 8
099 ; c ; 215 ; 101100 ; 6
100 ; d ; 219 ; 101110 ; 6
101 ; e ; 624 ; 11110 ; 5
102 ; f ; 197 ; 100110 ; 6
103 ; g ; 84 ; 11111011 ; 8
104 ; h ; 106 ; 1011010 ; 7
105 ; i ; 524 ; 11010 ; 5
106 ; j ; 16 ; 1110110000 ; 10
107 ; k ; 6 ; 10000111001 ; 11
108 ; l ; 381 ; 10001 ; 5
109 ; m ; 111 ; 1011011 ; 7
110 ; n ; 418 ; 10101 ; 5
111 ; o ; 415 ; 10100 ; 5
112 ; p ; 166 ; 1111110 ; 7
113 ; q ; 34 ; 110011011 ; 9
114 ; r ; 462 ; 11000 ; 5
115 ; s ; 182 ; 100000 ; 6
116 ; t ; 549 ; 11100 ; 5
117 ; u ; 261 ; 111010 ; 6
118 ; v ; 59 ; 11001010 ; 8
119 ; w ; 33 ; 110011010 ; 9
120 ; x ; 21 ; 1111111001 ; 10
121 ; y ; 19 ; 1110110110 ; 10
122 ; z ; 23 ; 100001101 ; 9
123 ; { ; 44 ; 10000100 ; 8
124 ; | ; 2 ; 1011110111100 ; 13
125 ; } ; 44 ; 111111101 ; 9
